ISIN,Code,SYMBOL,SERIES,EXCH,SYMBOL2,,Symbol3
INE450D01021,PITTIENG,PITTIENG,EQ,NSE,PITTIENG,,PITTIENG.NS
INE751B01018,PIXTRANS,PIXTRANS,EQ,NSE,PIXTRANS,,PIXTRANS.NS
INE083C01022,PLASTIBLEN,PLASTIBLEN,EQ,NSE,PLASTIBLEN,,PLASTIBLEN.NS
INE0PT501018,PLATIND,PLATIND,EQ,NSE,PLATIND,,PLATIND.NS
INE0INJ01017,PLAZACABLE,PLAZACABLE,EQ,NSE,PLAZACABLE,,PLAZACABLE.NS
INE859A01011,PNBGILTS,PNBGILTS,EQ,NSE,PNBGILTS,,PNBGILTS.NS
INE572E01012,PNBHOUSING,PNBHOUSING,EQ,NSE,PNBHOUSING,,PNBHOUSING.NS
INE195J01029,PNCINFRA,PNCINFRA,EQ,NSE,PNCINFRA,,PNCINFRA.NS
INE371C01013,PODDARMENT,PODDARMENT,EQ,NSE,PODDARMENT,,PODDARMENT.NS
INE637C01025,POKARNA,POKARNA,EQ,NSE,POKARNA,,POKARNA.NS
INE205C01021,POLYMED,POLYMED,EQ,NSE,POLYMED,,POLYMED.NS
INE455K01017,POLYCAB,POLYCAB,EQ,NSE,POLYCAB,,POLYCAB.NS
INE633B01018,POLYPLEX,POLYPLEX,EQ,NSE,POLYPLEX,,POLYPLEX.NS
INE517M01028,POLYSIL,POLYSIL,ST,NSE,POLYSIL,,POLYSIL.NS
INE063E01053,POCL,POCL,EQ,NSE,POCL,,POCL.NS
INE838E01017,PONNIERODE,PONNIERODE,EQ,NSE,PONNIERODE,,PONNIERODE.NS
INE511C01022,POONAWALLA,POONAWALLA,EQ,NSE,POONAWALLA,,POONAWALLA.NS
INE772T01024,PVSL,PVSL,EQ,NSE,PVSL,,PVSL.NS
INE0S3H01017,POSITRON,POSITRON,SM,NSE,POSITRON,,POSITRON.NS
INE134E01011,PFC,PFC,EQ,NSE,PFC,,PFC.NS
INE752E01010,POWERGRID,POWERGRID,EQ,NSE,POWERGRID,,POWERGRID.NS
INE211R01019,POWERMECH,POWERMECH,EQ,NSE,POWERMECH,,POWERMECH.NS
INE0I0M01023,PRABHA,PRABHA,EQ,NSE,PRABHA,,PRABHA.NS
INE074A01025,PRAJIND,PRAJIND,EQ,NSE,PRAJIND,,PRAJIND.NS
INE505C01016,PRAENG,PRAENG,EQ,NSE,PRAENG,,PRAENG.NS
INE603A01013,PRAKASH,PRAKASH,EQ,NSE,PRAKASH,,PRAKASH.NS
INE50001010,PPL,PPL,EQ,NSE,PPL,,PPL.NS
INE696K01024,PRAKASHSTL,PRAKASHSTL,EQ,NSE,PRAKASHSTL,,PRAKASHSTL.NS
INE0O7A01017,PRAMARA,PRAMARA,ST,NSE,PRAMARA,,PRAMARA.NS
INE393P01035,DIAMONDYD,DIAMONDYD,EQ,NSE,DIAMONDYD,,DIAMONDYD.NS
INE0QA601016,PRATHAM,PRATHAM,SM,NSE,PRATHAM,,PRATHAM.NS
INE484I01029,PRECAM,PRECAM,EQ,NSE,PRECAM,,PRECAM.NS
INE0HKW01018,PRECISION,PRECISION,ST,NSE,PRECISION,,PRECISION.NS
INE372C01037,PRECWIRE,PRECWIRE,EQ,NSE,PRECWIRE,,PRECWIRE.NS
INE0BS701011,PREMIERENE,PREMIERENE,EQ,NSE,PREMIERENE,,PREMIERENE.NS
INE863B01029,PREMEXPLN,PREMEXPLN,EQ,NSE,PREMEXPLN,,PREMEXPLN.NS
INE309M01020,PREMIERPOL,PREMIERPOL,EQ,NSE,PREMIERPOL,,PREMIERPOL.NS
INE0CFG01012,PRLIND,PRLIND,SM,NSE,PRLIND,,PRLIND.NS
INE0M1F01011,PREMIUM,PREMIUM,SM,NSE,PREMIUM,,PREMIUM.NS
INE0R1601012,PRESSTONIC,PRESSTONIC,SM,NSE,PRESSTONIC,,PRESSTONIC.NS
INE811K01011,PRESTIGE,PRESTIGE,EQ,NSE,PRESTIGE,,PRESTIGE.NS
INE726V01018,PRICOLLTD,PRICOLLTD,EQ,NSE,PRICOLLTD,,PRICOLLTD.NS
INE367G01038,PFOCUS,PFOCUS,BL,NSE,PFOCUS,,PFOCUS.NS
INE032B01021,PRIMESECU,PRIMESECU,EQ,NSE,PRIMESECU,,PRIMESECU.NS
INE607A01022,PRIMO,PRIMO,EQ,NSE,PRIMO,,PRIMO.NS
INE689W01016,PRINCEPIPE,PRINCEPIPE,EQ,NSE,PRINCEPIPE,,PRINCEPIPE.NS
INE010A01011,PRSMJOHNSN,PRSMJOHNSN,EQ,NSE,PRSMJOHNSN,,PRSMJOHNSN.NS
INE974Z01015,PRITI,PRITI,EQ,NSE,PRITI,,PRITI.NS
INE583R01029,PRITIKAUTO,PRITIKAUTO,EQ,NSE,PRITIKAUTO,,PRITIKAUTO.NS
INE0MJQ01020,PRITIKA,PRITIKA,SM,NSE,PRITIKA,,PRITIKA.NS
INE392B01011,PNC,PNC,EQ,NSE,PNC,,PNC.NS
INE959A01019,PRIVISCL,PRIVISCL,EQ,NSE,PRIVISCL,,PRIVISCL.NS
INE0V9N01017,PRIZOR,PRIZOR,ST,NSE,PRIZOR,,PRIZOR.NS
