SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
AGARWALFT,SM,68,69,67.05,69,69,69.5,4500,306075.00,02-Sep-2025,3,INE0MLA01012
AGARIND,EQ,794.75,810,790,805.15,792.5,794.75,28086,22532314.40,02-Sep-2025,2034,INE204E01012
AGARWALTUF,SM,149.8,152.35,147.1,148,148.05,148.6,116400,17260440.00,02-Sep-2025,21,INE0P8X01016
AGI,EQ,874.95,897.3,870.2,878.7,883.35,874.95,70189,62122623.30,02-Sep-2025,6718,INE415A01038
AGIIL,EQ,1195,1195,1162.1,1170,1173,1157.3,33233,39092281.20,02-Sep-2025,4738,INE976R01025
AGNI,SM,31.4,36.45,31.4,36.45,36.45,30.4,302500,10387500.00,02-Sep-2025,116,INE0LF301013
AGRITECH,EQ,137.78,141.06,137.6,138.87,139,137.78,5291,737111.61,02-Sep-2025,192,INE449G01018
AGROPHOS,BE,42.2,43.84,42.02,42.46,42.25,43.23,34354,1461101.87,02-Sep-2025,213,INE740V01019
AGSTRA,BE,5.59,5.59,5.59,5.59,5.59,5.71,128671,719270.89,02-Sep-2025,308,INE583L01014
AHIMSA,ST,24.5,24.5,24.5,24.5,24.5,25.55,27000,661500.00,02-Sep-2025,1,INE136T01014
AHLADA,EQ,56.2,57.93,55,56.13,56.89,57.26,17133,972124.86,02-Sep-2025,385,INE00PV01013
AHLUCONT,EQ,927.8,971.9,927.8,940.3,934.25,936.3,34199,32294450.40,02-Sep-2025,5509,INE758C01029
AIAENG,EQ,3120,3140,3061,3113.9,3111,3090.6,45344,141344638.30,02-Sep-2025,14984,INE212H01026
AIMTRON,SM,681.95,681.95,670,670.65,670,681.95,29600,19916340.00,02-Sep-2025,72,INE0RUV01018
GOLDTECH,EQ,67.41,68.48,66.51,66.95,66.7,67.41,32663,2210964.32,02-Sep-2025,694,INE805A01014
AIRAN,EQ,25.71,25.95,25.32,25.55,25.69,25.71,78821,2025126.01,02-Sep-2025,1118,INE645W01026
AIROLAM,EQ,110.59,110.94,106.31,106.65,106.99,108.43,4781,512793.20,02-Sep-2025,236,INE801L01010
AIRTELPP,E1,1444.65,1460,1425.1,1441.25,1443,1444.65,58830,84680614.25,02-Sep-2025,2161,IN9397D01014
AJANTPHARM,EQ,2452.1,2498.9,2452.1,2480,2475,2452,314197,779250741.80,02-Sep-2025,24858,INE031B01049
AJAXENGG,EQ,704,704,684.05,686.85,686.6,695.1,52679,36500336.40,02-Sep-2025,3483,INE274Y01021
AJMERA,EQ,905,962.9,898.25,945.9,954.85,899.35,271114,256237984.35,02-Sep-2025,17968,INE298G01027
AJOONI,EQ,5.31,5.37,5.24,5.25,5.27,5.31,364109,1926279.58,02-Sep-2025,877,INE820Y01021
AKANKSHA,ST,85,90.3,84.3,89.1,89.1,86,14000,1231300.00,02-Sep-2025,13,INE0PCY01014
AKASH,EQ,26.7,26.74,25.73,25.88,25.81,26.7,8237,215548.10,02-Sep-2025,138,INE737W01013
AKG,EQ,13.19,13.46,12.4,12.55,12.4,12.75,54442,692510.74,02-Sep-2025,272,INE00Y801016
AKI,BE,8.7,9.23,8.7,9.14,9.19,8.95,20218,182861.85,02-Sep-2025,119,INE642Z01026
AKIKO,ST,167,170.5,167,168,168,166.15,16000,2704000.00,02-Sep-2025,10,INE0PMR01017
AFIL,EQ,6.92,7.01,6.92,6.93,6.96,6.92,1455680,10158573.81,02-Sep-2025,776,INE916Y01027
AKSHOPTFBR,EQ,7.39,7.96,7.24,7.96,7.96,7.24,435834,3390594.61,02-Sep-2025,847,INE523B01011
AKSHAR,EQ,0.57,0.58,0.56,0.56,0.58,0.57,1147574,656018.85,02-Sep-2025,565,INE256Z01025
AKSHARCHEM,EQ,284.95,284.95,245.3,255.45,253,278.1,118860,30310922.75,02-Sep-2025,2165,INE542B01011
AKUMS,EQ,468,477,466.05,472.7,473.65,466.8,76911,36391284.65,02-Sep-2025,3438,INE09XN01023
AKZOINDIA,EQ,3428,3440,3393.7,3421.8,3429,3407.6,14400,49209030.90,02-Sep-2025,3375,INE133A01011
ALANKIT,EQ,14.01,14.36,14,14.08,14.03,13.95,249584,3534421.74,02-Sep-2025,1218,INE914E01040
ALBERTDAVD,EQ,820,820,801,804.75,803,815.8,2612,2111790.50,02-Sep-2025,283,INE155C01010
ALEMBICLTD,EQ,102,104.86,101.62,103.72,103.7,101.8,248965,25833059.82,02-Sep-2025,4297,INE426A01027
APLLTD,EQ,942.7,956.4,931.9,943.95,950,942.7,46736,44266863.25,02-Sep-2025,5060,INE901L01018
ALICON,EQ,843.6,859.8,834.9,850,847,839.2,4241,3599779.10,02-Sep-2025,733,INE062D01024
ALIVUS,EQ,944,948,931,934.75,932.3,936.5,38779,36409896.90,02-Sep-2025,3839,INE03Q201024
ALKALI,EQ,86.49,87.83,85.1,85.64,86.19,86.08,4193,361815.77,02-Sep-2025,170,INE773I01017
ALKEM,EQ,5321.5,5340,5204.5,5246.5,5251,5300.5,115513,606600410.00,02-Sep-2025,19009,INE540L01014
ALKYLAMINE,EQ,2032,2090,2027.8,2061.8,2089.9,2035.8,32709,67663681.40,02-Sep-2025,6482,INE150B01039
ALLETEC,SM,308,308.45,302.5,304.85,302.5,305.7,11200,3436640.00,02-Sep-2025,28,INE0M2X01012
ALLTIME,EQ,306.95,317.4,303.95,313.05,310.1,305.25,1428859,444164222.00,02-Sep-2025,34955,INE0GV601021
ACLGATI,EQ,61.9,62.5,61.31,61.64,61.35,61.13,104300,6466921.80,02-Sep-2025,1720,INE152B01027
ALLCARGO,EQ,31.68,33.05,31.51,32.1,32.07,31.61,3327662,107505453.97,02-Sep-2025,14835,INE418H01029
ATL,EQ,27.91,28.7,27.68,27.84,27.71,27.91,142675,4021083.92,02-Sep-2025,1478,INE0NN701020
ALLDIGI,EQ,964.55,974.1,941,949.4,942.75,957.95,5410,5192718.65,02-Sep-2025,975,INE835G01018
ABDL,EQ,519.7,520.95,504.3,507.4,508.8,516.95,225680,115690759.10,02-Sep-2025,10847,INE552Z01027
ADSL,EQ,164.95,166.24,163.12,165.1,165,163.23,154621,25516534.41,02-Sep-2025,2580,INE102I01027
ALMONDZ,EQ,19.87,19.99,19.52,19.55,19.68,19.54,104630,2061169.60,02-Sep-2025,490,INE326B01035
ALOKINDS,EQ,17.3,19,17.3,18.26,18.25,17.23,39851706,735245877.21,02-Sep-2025,47221,INE270A01029
