SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
511523,"VEERHEALTH CARE LIMITED",X,STK,19.6,19.6,18.21,19.11,19.19,19.05,94,61897,1177016,
511525,"PAN INDIA CORPORATION LTD.",X,STK,2.34,2.41,2.34,2.37,2.39,2.41,204,37130,88398,
511533,"SAHARA HOUSINGFINA CORPORATION",X,STK,38.15,38.89,37.92,38.49,38.5,38.49,22,883,33686,
511535,"NDA SECURITIES LTD.",X,STK,44.51,47.88,42.55,44.92,44.99,44.18,12,1273,56759,
511539,"Supra Trends Limited",XT,STK,21.5,21.75,19.74,20.97,20.97,20.77,41,9951,201386,
511543,"GSB FINANCE LTD.",X,STK,26.81,28.99,26.81,28.89,28.89,26.81,15,649,17875,
511549,"MORARKA FINANCE LTD.",X,STK,103.15,103.15,100.15,101.05,101.05,103.17,17,352,35749,
511551,"Monarch Networth Capital Limit",B,STK,337.35,338.9,325.45,327.15,326.7,336.65,378,18913,6273430,
511557,"PRO FIN CAPITAL SERVICES LTD.",XT,STK,10.7,10.84,10.19,10.67,10.68,10.71,688,1207127,12821903,
511559,"TEAM INDIA GUARANTY LIMITED",T,STK,264.55,264.6,264.55,264.6,264.6,269.9,4,97,25664,
511563,"SANCHAY FINVEST LTD.",Z,STK,32.2,32.2,30.97,30.97,30.97,30.67,2,51,1580,
511571,"SOM DATT FINANCE CORPORATION L",XT,STK,135,135,133,133.8,133.8,132.8,35,12757,1707761,
511577,"SAVANI FINANCIALS LTD.",X,STK,16.75,18.49,16.75,17.96,17.99,17.75,20,4764,84264,
511585,"BEFOUND MOVEMENT LIMITED",XT,STK,6.19,6.19,6.19,6.19,6.19,6.07,3,1450,8975,
511589,"AVONMORE CAPITAL & MANAGEMENT",B,STK,19.89,19.89,18.9,18.98,18.98,18.99,386,50752,983148,
511593,"LIBORD FINANCE LTD",X,STK,18.22,18.22,17.01,17.45,17.45,18.13,14,324,5691,
511601,"YASH MANAGEMENT & SATELLITE LT",X,STK,10.32,11.25,10.32,10.93,10.62,10.93,27,3161,34885,
511605,"ARIHANT CAPITAL MARKETS LTD.",B,STK,106.95,106.95,102.5,103.05,102.7,105.95,235,8618,901966,
511609,"ISL CONSULTING LTD.",X,STK,26.5,27.4,26,27.2,27.2,26.84,18,7415,199667,
511611,"DCM FINANCIAL SERVICES LTD.",T,STK,6.25,6.25,5.73,6.02,6.02,6.02,11,3965,23861,
511626,"RR FINANCIAL CONSULTANTS LTD.",XT,STK,89.84,89.84,89.84,89.84,89.84,91.67,37,1454,130627,
511628,"FEDDERS HOLDING LIMITED",B,STK,46,46.45,43.99,44.64,44.64,46.03,564,442930,19924728,
511630,"SAMBHAAV MEDIA LTD.",B,STK,6.65,6.68,6.55,6.56,6.56,6.7,29,10927,72101,
511634,"DUGAR HOUSING DEVELOPMENTS LTD",XT,STK,150.25,150.25,150.25,150.25,150.25,147.35,1,50,7512,
511636,"DJS STOCK & SHARES LTD.",XT,STK,2.31,2.55,2.31,2.44,2.45,2.43,101,30924,74841,
511644,"OMEGA INTERACTIVE TECHNOLOGIES",XT,STK,157,160.1,157,160.1,160.1,157,39,11989,1910849,
511654,"SUGAL & DAMANI SHARE BROKERS L",XT,STK,96.52,96.52,92.15,92.15,92.15,97,9,273,25179,
511658,"NETTLINX LTD.",X,STK,22.6,22.6,21.61,22.22,22.54,22.04,97,7045,156137,
511664,"BGIL FILMS & TECHNOLOGIES LTD.",XT,STK,13,13,13,13,13,13,7,851,11063,
511672,"Scan Steels Limited",X,STK,34.13,36,34.13,34.8,34.8,34.65,105,23514,823563,
511676,"GIC HOUSING FINANCE LTD.",B,STK,176.5,177.45,172.15,172.8,173,175.55,96,2391,416292,
511692,"AJCON GLOBAL SERVICES LTD.",XT,STK,10,10.09,9.6,10,10,10.03,41,3129,30655,
511696,"CHARTERED CAPITAL & INVESTMENT",X,STK,233,256,233,254.85,254.85,249,6,196,47942,
511700,"STANDARD CAPITAL MARKETS LTD.",XT,STK,0.67,0.7,0.66,0.69,0.69,0.67,2453,7871701,5419900,
511702,"YOGI LIMITED",XT,STK,183,186.95,182,184.05,182,183.65,53,5377,988375,
511710,"CUBICAL FINANCIAL SERVICES LTD",X,STK,2.11,2.18,2.05,2.15,2.14,2.13,78,30570,65178,
